tokens	target word	tagger tag	human tag	tp/tn
ewhere . Uh , Chosen Few . We all basically grew up together in Princevill	basically	R	PREVB	tp
at's going on . What's going on basically in uh- in this particular envi	basically	R	POSTVB	tp
nterest them into buying ? Uh , basically that's it . Uh , well normally t	basically	R	PREVB	tp
hat sort . I feel that uh , they basically have the back- the training an	basically	R	PREVB	tp
usness like , a video it's like basically like they show videos from You	basically	R	POSTVB	tp
And there's reffing Mm . Well , basically whatever like that's gonna hel	basically	R	PREVB	tp
d buy this . But the program is basically it's a leadership program abou	basically	R	POSTVB	tp
n houses . Other than that it's basically nothing that separates them . I	basically	R	POSTVB	tp
was North Carolina . Uh , well , basically as of today , Congress Heights	basically	R	PREVB	tp
answer . Or they first try . So basically it is a mentoring program from	basically	R	PREVB	tp
ed Big Brother . It's bas- it's basically from ages six to twenty-five ,	basically	R	POSTVB	tp
aldosta . Um . More or less , um , basically all my life except for , um , ma	basically	R	POSTVB	tp
home with my mom soon . Well I basically am living with my mom but my-	basically	R	PREVB	tp
ing like , you get it from the- Basically your chicken and fries , Yeah y	basically	R	POSTVB	tp
like in the area by my school basically . That's the only places I real	basically	R	POSTVB	tp
So like your first year- Yeah , basically . So the fall semester , I might	basically	R	POSTVB	tp
h , so it's like a side hustle , basically . Like- I- I could work with th	basically	R	POSTVB	tp
this , um- The only whites that basically stayed- The majority of the wh	basically	R	PREVB	tp
ow , there's nothing that I can basically do other than try to instill c	basically	R	PREVB	tp
that too . It's like a topping , basically . Any carry out . Yeah . Teens li	basically	R	POSTVB	tp
I mean , the stereotype , uh , is basically- Everybody looks at the statis	basically	R	POSTVB	tp
rown man , talking to my child ? basically . Cause my mother was a child ,	basically	R	POSTVB	tp
hat on their centennieth year , basically on they hundredth year being t	basically	R	POSTVB	tp
< name > was their manager . Um , basically , there was a group called < wor	basically	R	PREVB	tp
ted to do before he passed . So basically , < name > entertainment is to sh	basically	R	PREVB	tp
ow family and to show basically his kids that there is another	basically	R	POSTVB	tp
augh > I mean , Geechee is like , basically like- um , like a Southern acce	basically	R	POSTVB	tp
l exactly this way . And you're basically telling them the same thing . L	basically	R	PREVB	tp
aughing ) And I remember , like , basically , like , almost tutoring some of	basically	R	PREVB	tp
and suing state governments . I basically help provide the research to-	basically	R	PREVB	tp
er registration . Um , so that's basically what I do . Um , what else did y	basically	R	PREVB	tp
ised here , yes . Rochester . Um , basically the west side , but I've lived ,	basically	R	POSTVB	tp
ook a dive when General Motors basically took a dive cause th- they wer	basically	R	PREVB	tp
een in school for a long time , basically since we've got out of high sc	basically	R	POSTVB	tp
e the beast that every man got basically . You know kind of got of age a	basically	R	POSTVB	tp
e basically making these SUV's , these big	basically	R	PREVB	tp
ne has call centers . So that's basically where people go to get their-	basically	R	PREVB	tp
ation that you know , you could basically go there on a high school dipl	basically	R	PREVB	tp
that . You know , so , um , that's basically it . Once they , um , both got jo	basically	R	POSTVB	tp
was in construction , so it was basically a steal . Yeah . Yeah , big old h	basically	R	POSTVB	tp
So now you can go to the mall basically , but that's different . You don	basically	R	POSTVB	tp
g violence , of- of- of- uh , j- basically like street life . You know , an	basically	R	POSTVB	tp
ochester is poor . Rochester is basically a smaller Chiraq . Um , the peop	basically	R	POSTVB	tp
called < work > , uh , < work > . Um , basically , they- it's- it's- it's pretty	basically	R	PREVB	tp
et cause I was too little . But basically , where we would go to Reynold '	basically	R	PREVB	tp
ou know what I'm saying that's basically known in DC . Southeast side . Y	basically	R	PREVB	tp
name , their neighborhood being basically shout out or put on the tape y	basically	R	PREVB	tp
be go go music ? Go go music is basically a beat a constant beat . And um	basically	R	POSTVB	tp
nt things , you know but people basically the same . < laugh > Give me an e	basically	R	POSTVB	tp
g up is uh , experience that is basically a gift . Keep your childhood as	basically	R	POSTVB	tp
een there for seven years . Uh , basically , anything that's in the buildi	basically	R	PREVB	tp
ay shoot ' em up bust ' em up is basically like no one's on no one's team	basically	R	POSTVB	tp
. And would you like me- Cause basically we moved in two thousand , but	basically	R	PREVB	tp
rom a god ? Did we we come from basically dinosaurs , like they're tellin	basically	R	POSTVB	tp
how her that it wasn't in vain basically . Um , wanted to go to law schoo	basically	R	POSTVB	tp
gram . Um , all three years , and basically I'm like , okay , yeah . I defini	basically	R	PREVB	tp
nger are like a- in between us basically . Um , so I guess that would be	basically	R	POSTVB	tp
f that neighborhood is . It was basically sixteenth street Northwest and	basically	R	PREVB	tp
hoot ' em up , bust ' em up , like basically like football- freehand footba	basically	R	POSTVB	tp
he- okay so document review is basically the discovery process of- I do	basically	R	POSTVB	tp
s are with document review but basically discovery process , so when two	basically	R	POSTVB	tp
hird floor with their children basically . Um , and then throughout the y	basically	R	POSTVB	tp
deal with family for so long , basically . Um , and my father's always wa	basically	R	POSTVB	tp
I was- I was a lost puppy . Um , basically , I was trying to go for what I	basically	R	PREVB	tp
n learn a lot with science . E- basically everything you do e- equal up	basically	R	PREVB	tp
s like- in- in my opinion , was basically stolen from the black communit	basically	R	PREVB	tp
ilming all over PG County . And basically I played this drug dealer who	basically	R	PREVB	tp
o . Shit man , it's really- it's basically- it's basically , you know what	basically	R	PREVB	tp
it was- good , real . They , uh , basically- They loved us . They fucking l	basically	R	PREVB	tp
my other family on his side is basically still down south . He's a- one	basically	R	PREJJ	tp
th Discipleship Director . So I basically was overseeing creative elemen	basically	R	PREVB	tp
of fasting and prayer which is basically where you seek God for clarity	basically	R	POSTVB	tp
ere a kid can really be a kid , basically . I did . < laugh > Yeah . Well , I	basically	R	POSTVB	tp
ing and mastering my music , so basically he was making it sound very po	basically	R	PREVB	tp
a lot of outreach , um , w- and basically we'll um , give away groceries ,	basically	R	PREVB	tp
um , just a bunch of negativity basically . But , < ts > I s- I also digress	basically	R	POSTVB	tp
And um , so I talked to her and basically found out that her- her brothe	basically	R	PREVB	tp
bout those parts . Yeah , that's basically what's happening . We had our f	basically	R	POSTVB	tp
- It's a lot of congos . That's basically what makes it different , the c	basically	R	POSTVB	tp
ey've decided that they wanna , basically , i- um , take up that neighborh	basically	R	POSTVB	tp
en it's like- it's like a team basically . My friendship is like a team ,	basically	R	POSTVB	tp
as like , very suburban . It was basically Waldorf , you know , it was real	basically	R	POSTVB	tp
en you have like , uh , you have basically like a train on you . That the	basically	R	POSTVB	tp
, um , groups under me , but I'm basically manage technical folks who wor	basically	R	PREVB	tp
ging like , you doing too much , basically . Um , what else , ?? be . Yeah , i	basically	R	POSTVB	tp
it . Like , I like- I love music basically . Mm-hm . Know what , I think , um	basically	R	POSTVB	tp
department . I am a manager of basically the technical resources on pro	basically	R	POSTVB	tp
life . Mm-hm . Two , two sons . A beautiful little grandbaby and a beautif	beautiful	A	A	tn
ties . Um , yeah . < address > It's beautiful up there . Um , I never thought-	beautiful	A	A	tn
l me . Let's see , I want a < ts > beautiful living room with two pole lamp	beautiful	A	A	tn
en't deserving of like th- th- beautiful space . You know , like we're no	beautiful	A	A	tn
t . And it was just- ah , it was beautiful . Yes , ah it was so good . I use	beautiful	A	A	tn
u're my child . You know you're beautiful . That's it . That was the exten	beautiful	A	A	tn
course my father tells me I'm beautiful every day , but never realizing	beautiful	A	A	tn
one made it because she had a beautiful body . She was a stripper , and	beautiful	A	A	tn
ly . I was like , oh lord . Like , beautiful . But it used to be different h	beautiful	A	A	tn
two , three people , oh you have beautiful eyes . What are you mixed with ?	beautiful	A	A	tn
ah . And it- it's amazing . It's beautiful . Um , our hair , everything . I l	beautiful	A	A	tn
educational wise , but it's not beautiful . It's- You can get lost there ,	beautiful	A	A	tn
< school>'s campus . Like , it's beautiful . George Mason is a good school	beautiful	A	A	tn
everything about it , it's it's beautiful , so . Um , all of them . I mean I	beautiful	A	A	tn
the- the curtains open , it was beautiful in there . And that was my drea	beautiful	A	A	tn
ll picture . So , it looked very beautiful at- at the time . And when you	beautiful	A	A	tn
there . Mm-hm . < sigh > It's been beautiful . It has because , you know , uh ,	beautiful	A	A	tn
ing breakfast , this th- It was beautiful . It was beautiful . You come ou	beautiful	A	A	tn
hen I met my wife , which is so beautiful man . It was like , hey , this is	beautiful	A	A	tn
t it was in color and it was a beautiful musical . I hope that it does c	beautiful	A	A	tn
om twenty second . But what was beautiful about um , when we did our Ball	beautiful	A	A	tn
just the campus- the campus is beautiful . Um , the academics are good . T	beautiful	A	A	tn
t is beautiful . And she di- decorated everyth	beautiful	A	A	tn
still staying , and they have a beautiful home . Beautiful . Oh my Lord . I	beautiful	A	A	tn
urch and school , that was this beautiful picture , and you know , all of	beautiful	A	A	tn
hey put up a lot of buildings , beautiful buildings and stuff like that	beautiful	A	A	tn
re where I was living . I had a beautiful home over there , but , you know	beautiful	A	A	tn
e street that was like big and beautiful , and like it was one of the be	beautiful	A	A	tn
people are coming here . It's a beautiful city . It's a really beautiful	beautiful	A	A	tn
behind this piano , it was this beautiful grand piano , and I started pla	beautiful	A	A	tn
nice . And then we had this m- beautiful , beautiful dinner . What was th	beautiful	A	A	tn
sails off into the East with a beautiful girl . Yeah . That's just about	beautiful	A	A	tn
nd out in the Pacific and have beautiful girls around me and servants e	beautiful	A	A	tn
white spots and all . It was a beautiful dog . Then , my first time seein	beautiful	A	A	tn
rs . I wanted that- Hey she was beautiful . And I- I- ? decide , can't liv	beautiful	A	A	tn
This is my life . Gave me four beautiful kids . But I- My thing is with	beautiful	A	A	tn
s , go ahead . Oh that- that was beautiful . That- that- that- Well , the-	beautiful	A	A	tn
ace . But it's- it's- it's very beautiful to- to see that side and for m	beautiful	A	A	tn
' t nobody know how beautiful it is . And that ? Yeah , it's d	beautiful	A	A	tn
just because of it . But , it's beautiful- it was beautiful how things c	beautiful	A	A	tn
always said , you know , it was beautiful . < laugh > You know , just d- tha	beautiful	A	A	tn
e new apartment building looks beautiful . You know so it's just like , e	beautiful	A	A	tn
And It's just- it's a- this a beautiful thing . Definitely . Definitely ,	beautiful	A	A	tn
blah blah . Really an absolute beautiful building . I mean , once they go	beautiful	A	A	tn
had in Boulder like , um , very beautiful space that could offer like do	beautiful	A	A	tn
n-o . And so uh to me , he was a beautiful dog cause he was- uh he was a	beautiful	A	A	tn
aughing ) . It was- But it was a beautiful row house , and uh , a nice- in	beautiful	A	A	tn
wing . Oh in this room ? Um- The beautiful and wonderful < name > Mm , Yes .	beautiful	A	A	tn
t one of them says , oh we love beautiful ebony women , and I was like , w	beautiful	A	A	tn
really , that was a- that was a beautiful space . That was really h- h- Y	beautiful	A	A	tn
ork > apartment , we have a very beautiful community room there . And you	beautiful	A	A	tn
r Marlboro , < work > , an awesome beautiful church . Um , but God had called	beautiful	A	A	tn
at . But- < laugh > But she was a beautiful woman , and she was really inte	beautiful	A	A	tn
t close the up close ? Like the beautiful . So , you see bars and I'm twen	beautiful	A	A	tn
n the internet . There's flashy beautiful colors . And it's describing th	beautiful	A	A	tn
ilding's nice . It's nice . It's beautiful . Y'all should move in there . A	beautiful	A	A	tn
your food , and you have a nice beautiful night . And I got up And I fuck	beautiful	A	A	tn
history , um , and it was really beautiful , like living in the space that	beautiful	A	A	tn
ls around the pond , and it was beautiful . And we have so much beautiful	beautiful	A	A	tn
like it- it was just a really beautiful thing . And that's the thi- tha	beautiful	A	A	tn
you know , you- you are a w- b- beautiful candidate , but we only accept	beautiful	A	A	tn
teenth ward has something very beautiful happening . But we can duplicat	beautiful	A	A	tn
ee another fifty nine ? Life is beautiful . I mean you hate to hear what	beautiful	A	A	tn
ments- Oh my God , they look so beautiful , you know ? And um , our town ha	beautiful	A	A	tn
and curl it and they looked so beautiful . But that was one of the thing	beautiful	A	A	tn
apart , but like there was such beautiful art scene . Um , I d- have never	beautiful	A	A	tn
t's a good thing to wear those beautiful jackets in school you know and	beautiful	A	A	tn
lly moved up . I mean , it is so beautiful . Like , just to sit back and lo	beautiful	A	A	tn
the land . And they dug a nice beautiful hole s- it's- and they stocked	beautiful	A	A	tn
lesson . The second lesson this beautiful place had for me to learn is t	beautiful	A	A	tn
t was the fun- it was the most beautiful thing , this that and the other	beautiful	A	A	tn
gs can happen to you in really beautiful places so , um , I think that li	beautiful	A	A	tn
ork with my daddy . And I had a beautiful niece . Somebody that loved me .	beautiful	A	A	tn
< laugh > Oh that w- she was so beautiful . Her little chubby self . That '	beautiful	A	A	tn
ng for Ms. Teen Oklahoma . Yup . Beautiful . Very beautiful . Yeah . She wen	beautiful	A	A	tn
lace stunk like hell . It was a beautiful place . I said , you know what ?	beautiful	A	A	tn
t , everything's fine , you look beautiful , it's okay . Like that- that's	beautiful	A	A	tn
ed artists here . And I've seen beautiful art here and , um , I appreciate	beautiful	A	A	tn
el beautiful to me . I always wanted hair I	beautiful	A	A	tn
w looking back it was probably beautiful , but at the time it did not fe	beautiful	A	A	tn
and down in writing . We had a beautiful person uh , to volunteer that w	beautiful	A	A	tn
d really some of ' em have done beautiful . Beautiful . You know , and has	beautiful	A	A	tn
sota Avenue , they got that big beautiful building on Minnesota Avenue ,	beautiful	A	A	tn
I just- I just got a- I got a beautiful mind , bro . I got a beautiful m	beautiful	A	A	tn
i- < laugh > I got a beautiful mind , you s- you feel me . ( lau	beautiful	A	A	tn
as like walking into a palace . Beautiful long drapes , velvety drapes , a	beautiful	A	A	tn
don't regret it cause I got a beautiful daughter . And , uh , um- and my ,	beautiful	A	A	tn
think the whole place is just beautiful . But then once he took us ther	beautiful	A	A	tn
ly , and his mother and in this beautiful African dress , and his father	beautiful	A	A	tn
m , but it's- it's just- it's a beautiful thing , so . I appreciate home n	beautiful	A	A	tn
ell , in North Carolina , we had beautiful decoration . Holly , Cedar and e	beautiful	A	A	tn
er wedding ended up being this beautiful Ritz Carlton wedding in Pentag	beautiful	A	A	tn
celebrate it . It's just really beautiful to see people in love . Yeah . <	beautiful	A	A	tn
ally nice . Like there are some beautiful beautiful houses here . All the	beautiful	A	A	tn
t a tight scene , man . It was a beautiful scene . Ah , okay . Have you ever	beautiful	A	A	tn
past < address > Avenue this big beautiful brick house , and it used to be	beautiful	A	A	tn
g up . You got everything- It's beautiful . Yes it is . Yeah , I think ever	beautiful	A	A	tn
l the white stone , it's just beautiful at night . And I'll stop and ta	beautiful	A	A	tn
house in the nineteenth ward , beautiful house . Her son went to private	beautiful	A	A	tn
specially at night cause DC is beautiful at night . The monuments and al	beautiful	A	A	tn
thing . And we had these , like , beautiful china plates and there were al	beautiful	A	A	tn
hat are now in these perfectly beautifully new homes and can't really aff	beautifully	R	NPAM	tp
ood part and it was uh- he was believable though . I still enjoyed it . Ne	believable	A	A	tn
I did was fine , long as it was beneficial to the family . Me having his b	beneficial	A	A	tn
k it's- in the long term is it beneficial for us ? No , because before you	beneficial	A	A	tn
and I felt like that would be beneficial for students . < clears throat >	beneficial	A	A	tn
- it's- I don't know it's been beneficial . Oh um a lot of times it was j	beneficial	A	A	tn
o that I can think of . They're bilingual , too . < laugh > Yes , me . Well uh	bilingual	A	A	tn
ng that you know we have to be bilingual because when we are , um , one o	bilingual	A	A	tn
er- I mean his biological father was Black , but his moth	biological	A	A	tn
. The white teacher . Yeah . His biological father was white , but his moth	biological	A	A	tn
have any- She doesn't have any biological children . She's not in a relat	biological	A	A	tn
my foster brother . I have two biological siblings on my mother's side ,	biological	A	A	tn
a kid . So , my mother , okay . My biological parents , uh , she couldn't have	biological	A	A	tn
dad , uh Never actually met my biological father stepfather , he was he w	biological	A	A	tn
and I have three biological siblings on my father's side .	biological	A	A	tn
were treated differently by my biological grandfather , who passed before	biological	A	A	tn
ever did meet- I met my m- uh , biological mother when I was twenty-one .	biological	A	A	tn
. And , um , essentially find my biological father , and file for custody o	biological	A	A	tn
with my fam- wi- with my- uh , biological family . So , that's how I got t	biological	A	A	tn
ff all mixed up , which is real bitter , and tell you to drink it . You	bitter	A	A	tn
But it's more sweet than it is bitter . You know , it's- it's actually	bitter	A	A	tn
as like , fine . It was a little bitter because- this sounds terrible .	bitter	A	A	tn
d uh , but his father was quite bitter . He was about the most bitter	bitter	A	A	tn
me of the southerners just was bitter about taking their free- free	bitter	A	A	tn
that as well . < ts > Um . I'm not bitter about that . Don't get me wrong	bitter	A	A	tn
bleach is your- Clorox is your bland- brand , when you say bleach yo	bland	A	A	tn
go West Coast , it be a lot of bland food . You know what I mean , lo	bland	A	A	tn
memories . You know , just point blank . But- Mm-hm . Mm-hm . My mother ,	blank	A	A	tn
at far , but um , they was point blank born and raised in Princeville	blank	A	A	tn
ther- All of Princeville point blank is my mother's side , so . No , m	blank	A	A	tn
g way , you know . And um , point blank , Princeville has a lot of hist	blank	A	A	tn
o out , it would be cold . Point blank . It just would be cold . It's c	blank	A	A	tn
point blank . Uh-huh . Mm-hm . Um , let's see .	blank	A	A	tn
d students at the school point blank . So that's the difference betw	blank	A	A	tn
go , you know that's DC . Point blank . Now actually , just this past	blank	A	A	tn
I know we uh , < laugh > wrote a blank check one- uh , wrote a check o	blank	A	A	tn
Um , I'm having a mind blank . Yes , they graduate- wait- let	blank	A	A	tn
urning the bus around ! Aw man , blank you . Blank blank . I'm like , < s	blank	A	A	tn
y just black in this , you know blank white space . And , um , you know	blank	A	A	tn
nswer my question , my blankety blank question . Oh he blankety blank	blank	A	A	tn
does , but it's not as open and blatant as it used to be , but . It's n-	blatant	A	A	tn
the norm . So , and then became blatantly obvious With , you know , after	blatantly	R	PREJJ	tp
l w- I like- I'll- I'm- I'm so blessed to be black . ( laughing ) I'm so	blessed	A	A	tn
she's- she's- I've been really blessed . She's never given me any trou	blessed	A	A	tn
itself . But thank god she was blessed that she's still alive . There	blessed	A	A	tn
ist , so . And I was glad- I was blessed to get both , so I'm telling my	blessed	A	A	tn
I had a nice childhood . I was blessed . Oh yeah . Yeah , we had plenty	blessed	A	A	tn
t , so I really truly have been blessed . Truly . Back ? Okay . Wow . Um , t	blessed	A	A	tn
watch all the games . I've been blessed and fortunate enough to watch	blessed	A	A	tn
u know what ? I have , I've been blessed . I've been to- I've been abroa	blessed	A	A	tn
wroom , but . You know I've been blessed , I- you know coming up poor an	blessed	A	A	tn
t's the side that I got- I was blessed to , you know , get to know . And	blessed	A	A	tn
I could ever wish for . We were blessed . I mean you have to understand	blessed	A	A	tn
I- and- and I consider myself blessed . My grandfather is- is the typ	blessed	A	A	tn
s be , like , you young kids are blessed cause we had this so and so an	blessed	A	A	tn
High School to really see how blessed we were by being a close knit	blessed	A	A	tn
you all have a good day and a blessed day . Okay , you too Miss < name >	blessed	A	A	tn
sure is . Hey y'all have a good blessed day and a nice day . Okay . And	blessed	A	A	tn
But for me , I was ha- was very blessed to have a lot of positive educ	blessed	A	A	tn
always would say , you all are blessed that- you- You know , if we had	blessed	A	A	tn
es , I definitely think I- I go blind to- you know , sound-blind deaf	blind	A	A	tn
aking yours . Jumping . Um , just blind man's bluff I think it is . Th-	blind	A	A	tn
n't die . You know she was just blind . And then man told her to tell	blind	A	A	tn
ing around , and- Cause she was blind , and she said , my eyes my eyes	blind	A	A	tn
ead , he died . And his wife was blind . And but Bonnie and Clyde didn	blind	A	A	tn
preacher . She is , uh , legally blind but she preaches . And uh , she	blind	A	A	tn
so . It's the same thing as uh blind man's bluff as you say . No tha	blind	A	A	tn
nto the sun cause I'm gonna go blind , that sounds stupid . My ancest	blind	A	A	tn
as lost , but now am found , was blind but now I see . Like , that song	blind	A	A	tn
name > . Mm-hm . He was a legally blind . Mm-hm . < laugh > I don't shop t	blind	A	A	tn
at < clears throat > I was maybe blind to a little bit , um , in- in gr	blind	A	A	tn
e powers that be will turn a a blind eye to that . You know . Because	blind	A	A	tn
to look but he can't see . He's blind . But I think he can see . And s	blind	A	A	tn
he's supposed to be blissfully blind the entire day so that even if	blind	A	A	tn
it is before you come accusing blindly . Mm , the best teacher I ever h	blindly	R	POSTVB	tp
ple that don't lead , they just blindly follow . Now I understand half	blindly	R	PREVB	tp
ess free . She's supposed to be blissfully blind the entire day so that e	blissfully	R	PREJJ	tp
u uh , a little dirty , a little bloody , your mother want to know wher	bloody	A	A	tn
dgeonings of chance my head is bloody but unbowed . Beyond this place	bloody	A	A	tn
he's very honest and they just blunt kind of . So that's how I grew	blunt	A	A	tn
n front of our building . Loud , boisterous , cursing and all that stuff , a	boisterous	A	A	tn
d never watched that Hospital . Bold and Beautiful . Them the only t	bold	A	A	tn
and my sister was really like , bold , and like nobody really wanted	bold	A	A	tn
d prophesied to me about being bold , to go where God called me . I '	bold	A	A	tn
ows how someone that can be so bold also . You know , by bringing th	bold	A	A	tn
e working in the lab is really boring . Cause all I do is transcribe	boring	A	A	tn
ve experience . Old bands is so boring . And old . < laugh > S- ? so um ,	boring	A	A	tn
and everything else , and it be boring as I don't know what . Next thi	boring	A	A	tn
es , like , it's like , it's just boring . Like , < ts > You remember inaud	boring	A	A	tn
nd everything and begin to get boring and everything and she began t	boring	A	A	tn
aint to the auto shops . And it boring . So , I w- left , I went to Orla	boring	A	A	tn
cultural references , but it's boring . I don't know . I don't know , I	boring	A	A	tn
ke concert season cause it was boring . I don't like sitting in the c	boring	A	A	tn
e there , and just expect to be boring . Like , I'm'a be funny at the s	boring	A	A	tn
ther class was really just , so boring . And then I get into this < sch	boring	A	A	tn
y when people be like , oh it's boring , it ain't nothing to do in Roc	boring	A	A	tn
air , just playing music . Seems boring . It's boring to me , but < laugh	boring	A	A	tn
r rules . You know , it's pretty boring , and it's- it's day after day .	boring	A	A	tn
e at the house cause it was so boring . Like , we were there for so lo	boring	A	A	tn
It was cause theys k- sort of boring to me . I like comedies like Th	boring	A	A	tn
and a movie , that's considered boring nowadays . Now it's like going	boring	A	A	tn
, and one patrol boy would get brave enough to walk out in the stre	brave	A	A	tn
I remember one day , I was the brave soul that darted out there . Um	brave	A	A	tn
decisions everyday and they're brave . Um , but I don't know if I'd b	brave	A	A	tn
folks in my feed . Um , they're brave . I mean , it- you know , for me ,	brave	A	A	tn
ed people up front and we need brave people . I'm not in a space to	brave	A	A	tn
lves because they weren't very brave . And they would let people jus	brave	A	A	tn
e took it easy . Mm-hm . She was brave . I reckon she did that to comf	brave	A	A	tn
e bleachers . And then that one brave soul would start running acros	brave	A	A	tn
n New York , um < ts > for just a brief time . I- The dancer school tha	brief	A	A	tn
hey were brief because my dad was very strict	brief	A	A	tn
bus at one point . It was very brief , but I took the bus for- yeah ,	brief	A	A	tn
- and Christmas but only for a brief period because that's basketba	brief	A	A	tn
h , I took the school bus for a brief minute . You know , when we move	brief	A	A	tn
much . Mm-hm . Um , wow . They're brief . Um , they're very brief , and t	brief	A	A	tn
all my life except there was a brief period I moved , but I moved ba	brief	A	A	tn
ou know . Well I can give you a brief episode of it , thing that I se	brief	A	A	tn
has a son , so we had him for a brief period where he- They're from	brief	A	A	tn
rried , my wife and I mo- lived briefly in Upper Marlboro before um , w	briefly	R	POSTVB	tp
I was living in Upper Marlboro briefly um , cause I didn't wanna be an	briefly	R	POSTVB	tp
DC . We moved to Upper Marlboro briefly , but in Upper Marlboro from tw	briefly	R	POSTVB	tp
younger I was at < school > , but briefly , briefly . So < school > , I went	briefly	R	POSTVB	tp
rts . So that was- that was the bright spot . The cheer , I thought was	bright	A	A	tn
he school looked , there's like bright sun roof atriums , small classe	bright	A	A	tn
there are some incredibly not bright people who we have gone to law	bright	A	A	tn
y a much smaller group of very bright , very intelligent , very hard w	bright	A	A	tn
eet , and there's like- there's bright red another one that's like a	bright	A	A	tn
rley Temple curls , then having bright , shiny shoes . Um , we used to b	bright	A	A	tn
ause they don't look up at the bright side or they just don't open t	bright	A	A	tn
lears throat > And , um , she's a bright girl , and that's why I was so	bright	A	A	tn
art . He's very , you know , he's bright . And m- and um , I was reading	bright	A	A	tn
ame > she was kind she- she had brilliant teaching techniques you know t	brilliant	A	A	tn
a older cousin who g- um , was brilliant . She had all straight As and e	brilliant	A	A	tn
s who come through and they're brilliant , I'm like , listen , you oughta	brilliant	A	A	tn
as oh she was nice too she was brilliant she wasn't as pretty , you know	brilliant	A	A	tn
r what have you , but , uh , very brilliant people come out of , uh , Roches	brilliant	A	A	tn
have a marvelous husband , a- a brilliant b- brain piece when it comes t	brilliant	A	A	tn
yway it was < name > and she had brilliant teaching techniques and she wo	brilliant	A	A	tn
was controversial but he was a brilliant person . He was controversial f	brilliant	A	A	tn
n the red light . So we hit him broad side . It was uh- And so I went	broad	A	A	tn
he street , over the weekend in broad daylight , and you wanna be goi	broad	A	A	tn
the vast world of HR . It's so broad , um , it's ever changing . It's	broad	A	A	tn
ut that's- but that's what- In broad daylight . This happened in bro	broad	A	A	tn
s . Because those kids could be brutal . They had different expectatio	brutal	A	A	tn
y , uh , the history that it was brutal for blacks , that , uh , they gai	brutal	A	A	tn
igh , Rocky Mount . I'm gonna be brutally honest . We have the dumbest bu	brutally	R	PREJJ	tp
was- it got you know , kind of busy there . I- I won't say that's w	busy	A	A	tn
just can't hold my hands . Very busy all day long , unless , you know	busy	A	A	tn
enough work to do to keep him busy , for- up until twelve o'clock	busy	A	A	tn
eah . Oh we we- fo- he's not as busy doing the same things that he	busy	A	A	tn
pital a few months ago , so I'm busy looking for a job right now an	busy	A	A	tn
other than that , if it's very busy , I help in processing , do some	busy	A	A	tn
many pranks on me . They're too busy trying to entertain me . They s	busy	A	A	tn
But , these youth , they're not busy enough . That's why they go to	busy	A	A	tn
that too . Well usually I'm too busy to associate with other teache	busy	A	A	tn
ou taking the time out of your busy day to do this interview . Um ,	busy	A	A	tn
don't want you j- stop getting busy now . You done did all the work	busy	A	A	tn
le around and it's always just busy , so , I feel safe . It's like we	busy	A	A	tn
Yeah . Oh y- Well it wont that busy then , but I'm glad now it wont	busy	A	A	tn
busy cause I don't know how we woul	busy	A	A	tn
one this morning because I was busy in the- raking leaves in the b	busy	A	A	tn
ah . < laugh > Yes indeed . Pretty busy . Yeah . Well I think so too . Ye	busy	A	A	tn
usin and we crossed the- uh , a busy intersection , but of course we	busy	A	A	tn
ople don't listen see they too busy telling us . And they haven't b	busy	A	A	tn
. So that means that if you're busy , you're just busy . But if you	busy	A	A	tn
r months where we're extremely busy and we have our months when we	busy	A	A	tn
g all the time . I have to keep busy . I can't just sit by idle hand	busy	A	A	tn
but nine . And it was a really busy street , it's- it's on < address	busy	A	A	tn
t it was a lot it was always a busy place . It's very busy right no	busy	A	A	tn
time . Like New York . It's too busy there . And it gets really cold	busy	A	A	tn
h too , so I try to keep him as busy as possible . Go to school and	busy	A	A	tn
d I go out ? cause Al , he's the busy one . And then so he keeps on-	busy	A	A	tn
re about going . Mm . Yeah . It's busy . And then I- I've been to Hous	busy	A	A	tn
I was nine so I wasn't- it was busy so I wasn't running the neighb	busy	A	A	tn
all boy . All boy . He's just a busy little body . He is as cute as	busy	A	A	tn
h kept me right off the- right busy . Yeah . Ah , well , uh- I can say	busy	A	A	tn
vity so growing up it was very busy like , ballet class , tap class ,	busy	A	A	tn
And , um , we can keep ourselves busy here . Um , I'm never bored , we	busy	A	A	tn
t . Yes . Thank you but I- I got busy and made up my mind that I did	busy	A	A	tn
them but like I said we be too busy with our family . Mm-hm . Okay .	busy	A	A	tn
now , I was in the- Yeah , I was busy man I was . And , they used to p	busy	A	A	tn
moved to DC in another really busy street . Like , Sixteenth , yeah .	busy	A	A	tn
d . People are rude . People are callous . People are indifferent . Um , p	callous	A	A	tn
is amazing story to tell , it's calm , it's peaceful , it's you and y	calm	A	A	tn
, just sit and be still and be calm and it'll pass , but you ?? < la	calm	A	A	tn
et back on it is you had to be calm . You know what I'm saying , fli	calm	A	A	tn
e y'all s- she said , y'all too calm . And then this is the girl fro	calm	A	A	tn
led math . And so he was really calm then he said , what do you wann	calm	A	A	tn
s . And she said you very- very calm < name > . And she say , I said , w	calm	A	A	tn
mother , she's a- she's a real calm chill person now , but she said	calm	A	A	tn
m , and like , she's more like a calm person . My dad's- has a temper	calm	A	A	tn
having a cat , cats make you so calm . Ever since my cat been gone ,	calm	A	A	tn
