tokens	target word	tagger tag	human tag	fp/fn
ut myself . Mm-hm . Church was a real big part of it cause that's wh	real	A	NPAM	fn
t my brother had friends like , real true friends from the communit	real	R	A	fp
led it Benny's Store . It was a real real old store . After the floo	real	A	NPAM	fn
but they didn't . Yes , we were real close . They talked about um , h	real	A	PREJJ	fn
cidence . The one girl that I'm real um , good friends with them , sh	real	A	NPAM	fn
energetic type of shit . S- it- real like- it's a trippy type of th	real	A	NPAM	fn
se guys like , so mu- We wasn't real close , but like , I know that t	real	A	PREJJ	fn
her and sister like , you know , real close and he- I mean , they you	real	A	PREJJ	fn
It was like putt putt . It was real fun though . And um , they had b	real	A	PREJJ	fn
I guess . And uh , she was just real friendly with the students . No	real	A	PREJJ	fn
was a- that was a- that was a real tumultuous years for like murd	real	A	NPAM	fn
I think it's a- it- it- it's a real big part of being from Southea	real	A	NPAM	fn
ger guys , the teenagers , don't real appreciate the roots and the h	real	A	PREVB	fn
se my mother , she's a- she's a real calm chill person now , but she	real	A	NPAM	fn
ther seen him , and my father's real real dark , so my mother said ,	real	A	PREJJ	fn
d everything ? Yeah . Yes . Yeah real cool . What is it that y'all lo	real	A	PREJJ	fn
d you try to get one of the- a real bushy type on the end . You see	real	A	NPAM	fn
strip it down , but you have a real bushy type on the end . That's	real	A	NPAM	fn
so , you know and He was just a real lovable type guy and I really	real	A	NPAM	fn
ke math because my teacher was real pretty you know . And then- I d	real	A	PREJJ	fn
the snow is on the ground and real icey and everything . My mother	real	A	PREJJ	fn
an your fingernail , and that's real nice . I got a little pocketboo	real	A	PREJJ	fn
hing . And they got- One of ' em real big thing go that big to hold	real	A	NPAM	fn
nd so on and so forth . It's no real big feeling of these people ar	real	A	NPAM	fn
the students at our school are real good about this . They- Most of	real	A	PREJJ	fn
t as much s- When- when you're real tired though , they say it's ru	real	A	PREJJ	fn
n through your mind real quick ( laughing ) . I don't real	real	A	POSTVB	fn
, they had to , uh- it was just real real strict little restriction	real	A	NPAM	fn
t > my grandmother's side is r- real religious , uh , Apostolic Pente	real	A	PREJJ	fn
sh- you know , short bush tall , real dark chocolate woman , and she	real	A	NPAM	fn
that's where I got my- my- my real real solid DC knowledge from w	real	A	NPAM	fn
hy I didn't develop all of the real strong f- bonds in my neighbor	real	A	NPAM	fn
elaborate wedding . Yep . Mm-hm . Real big wedding < ts > \wi with the	real	A	NPAM	fn
y big then so they kind of had real good control over what you did	real	A	NPAM	fn
I haven't been down there re- real recently , so I'm not sure . But	real	A	POSTVB	fn
et me- w- let me holler at you real quick , you know what I'm sayin	real	A	POSTVB	fn
, well I- I've had a couple of real good- good ones . But remember-	real	A	NPAM	fn
l stuff that goes on in there , real godly like . Sometimes I don't	real	A	PREJJ	fn
ys a , a bounty hunter and he's real fast , and then he hunting the-	real	A	PREJJ	fn
when they say it was gonna get real high , uh , we- they would- we w	real	A	PREJJ	fn
ojects been living there for a real long time . And like , I was the	real	A	NPAM	fn
my baby sister and I , we were real close . Um , my um , my older s-	real	A	PREJJ	fn
em . < laugh > Yeah . Yes , they're real good . Well , Clint Eastwood , he	real	A	PREJJ	fn
s grim . It looks- And it looks real gray . It's- it's very gray and	real	A	PREJJ	fn
I give you a prime example , a real prime example , bruh like , my f	real	A	NPAM	fn
was uh , Miss < name > . She was a real mean teacher . She wouldn't giv	real	A	NPAM	fn
at other places , but , we had a real good time in her classroom . We	real	A	NPAM	fn
ame was Miss < name > . She was a real nice teacher . She- she- she to	real	A	NPAM	fn
> Y- Yes , when I was you know . real young . Let's see if I can reme	real	A	PREJJ	fn
ped . And I was physical . I was real physical . I- I- honestly I was	real	A	PREJJ	fn
hat was really close . That was real close . Yup . And it was crazy .	real	A	PREJJ	fn
e dog is that he was white and real fluffy . < ts > And um , I think I	real	A	PREJJ	fn
' m saying , I like artsy girls , real nerdy but real fine . You know	real	A	PREJJ	fn
was big on birthdays . We do it real big for each other's birthday .	real	A	PREJJ	fn
ool , college that we got like , real close . Okay , so again , my gran	real	A	PREJJ	fn
hat time , seemed like it was a real far distance from my- from the	real	A	NPAM	fn
. But now that central heat is real nice . Yeah . Oh yeah , it was ol	real	A	PREJJ	fn
s it . You don't have any like , real close friends ? Yes , but all us	real	A	NPAM	fn
family come around , and I had real thick hair , somewhat- a decent	real	A	NPAM	fn
ck . Cause her mother was dark , real dark . Yeah the teacher was bla	real	A	PREJJ	fn
ut we used to uh- used to make real good money , you know for this-	real	A	NPAM	fn
l stuff all mixed up , which is real bitter , and tell you to drink	real	A	PREJJ	fn
se she's- Well she gets around real well but she's had six heart a	real	A	POSTVB	fn
re used to- when it used to be real hot , when we used to really ha	real	A	PREJJ	fn
a car , and uh , he uh- he has a real good job and has lots of money	real	A	NPAM	fn
thing . One of the kids had got real mean in the back just to get h	real	A	PREJJ	fn
ool > . Silver Spring . Oh it's a real nice school . It's real- real l	real	A	NPAM	fn
one but District Taco . They're real good . My mom actually took me	real	A	PREJJ	fn
they come . It's one- it's one real , real tall dark skinned dude .	real	A	NPAM	fn
l , a few . I had one real real bad one . I was at the same sch	real	A	NPAM	fn
ng on ? How you been ? I had one real bad breakup in California- wel	real	A	NPAM	fn
I don't know . Because we were real small then , and we really , you	real	A	PREJJ	fn
ay I think about now she was a real good looking chick you know sh	real	A	NPAM	fn
and his- his fingernails were real long and he would just pinch y	real	A	PREJJ	fn
stop that cause the Nurses are real lazy now , they ain't like they	real	A	PREJJ	fn
. Finally this general , he was real mean . He say , well you want th	real	A	PREJJ	fn
ding on to the rail . I'm like , real shook up . It's real bad . I'd r	real	A	PREJJ	fn
It was- it was- it was- good , real . They , uh , basically- They lov	real	A	POSTJJ	fn
sauce . But I'm- I'm not like a real big food person in terms of li	real	A	NPAM	fn
, like he a deep brother . He a real deep brother . He don't do- he	real	A	NPAM	fn
t mom dukes we was- we- we was real- she was angry- I was angry at	real	A	PREJJ	fn
ean , it's quiet out here . It's real quiet . Ain't too much happenin	real	A	PREJJ	fn
her she was smart . I mean just real smart , she was a dietician and	real	A	PREJJ	fn
ase . You know ? And it wasn't a real violent school . We didn't have	real	A	NPAM	fn
y daughter and I had our first real serious conversation because I	real	A	NPAM	fn
he'd put his foot in my throat real quick . Like- Because- I'll say	real	A	POSTVB	fn
e rope . You just hold the rope real low , you see . And as it- And a	real	A	POSTVB	fn
the drug game started getting real heavy and stuff . < ts > And star	real	A	PREJJ	fn
to do , you know , if uh , I felt real about it , you know , I would at	real	R	A	fp
only have one friend , Lily , a real old very good- good friend , an	real	A	NPAM	fn
these two guys , know , they're real good friends , you see . So this	real	A	NPAM	fn
r whatever drugs there was got real popular . But there's so many k	real	A	PREJJ	fn
ype of minister , you know , and real progressive- Whatever . I remem	real	A	PREJJ	fn
an . Like everything really got real fucked up down there , you feel	real	A	PREJJ	fn
ke that . He could uh- he was a real good jumper , he was fast . And	real	A	NPAM	fn
de me mad . Like that . < ts > Get real mad . Yeah , they make me mad . L	real	A	PREJJ	fn
was grey and white . She was a real skinny . She had some kittens .	real	A	PREJJ	fn
um , I just know- well , I had a real bad like , elementary school , l	real	A	PREJJ	fn
s kind of- it w- It was just a real bad transition . And also , like	real	A	NPAM	fn
he was a uh , you know he was a real good watch dog , he wasn't very	real	A	NPAM	fn
it was . And uh , they say it's real good well I'll go to see it . A	real	A	PREJJ	fn
ng to do , so we used to have a real good game . It was always about	real	A	NPAM	fn
move forward . So I like those real life- things really could happ	real	A	NPAM	fn
rocess , realize that these are real people that we're talking abou	real	A	NPAM	fn
go for all that cause I got a real weak stomach . But everything e	real	A	NPAM	fn
ing else was pretty cool . Like real cool . Yeah . And I had- My majo	real	A	PREJJ	fn
mama is too like- My mama was real fire with math . But I don't ev	real	A	PREJJ	fn
en- My daddy real smart with it too , but he- he	real	A	PREJJ	fn
y we don't do it anymore . This real fat guy you know tried to show	real	A	NPAM	fn
w cause I haven't seen it in a real long time . I remember all the	real	A	NPAM	fn
uys have too so you know we're real tight , we've been together sin	real	A	PREJJ	fn
um , the people here is , um- is real nice , um , We've been- I moved	real	A	PREJJ	fn
the team you know try and get real psyched up you know , kill kill	real	A	PREJJ	fn
ke , yeah man , y'all peoples on real some bullshit . And he like , ay	real	A	POSTVB	fn
lot going on in DC . But I was real little , < laugh > so um , that mi	real	A	PREJJ	fn
- you know , and playing sports real regular til I was about fourte	real	A	POSTVB	fn
, the houses down there set up real high for that protection up fr	real	A	PREJJ	fn
teacher I just had . She was a real good teacher . She expressed he	real	A	NPAM	fn
f a sudden she just let ouff a real big scream . Everybody shut up ,	real	A	NPAM	fn
e had a right to yell . She was real emotional about those things ,	real	A	PREJJ	fn
it . So , like I say it's like a real small family like up here in D	real	A	NPAM	fn
erishes ( laughing ) . It's- it's real old . No , it's not real old . It	real	A	PREJJ	fn
any definite plans or have any real set knowledge as to what I wou	real	A	NPAM	fn
s ties and everything and it's real cool . He used to wear glasses	real	A	PREJJ	fn
dollars short ? Shook my face . Real short . I say , well shit . This	real	A	PREJJ	fn
l that makeup and stuff . She's real tall . I think about six feet t	real	A	PREJJ	fn
dollars a year . Well , that's a real snobbish kind of an attitude t	real	A	NPAM	fn
side in case you wanted to get real extra and sing . Every night th	real	A	PREJJ	fn
bo S- And you know , Hamilton's real nice , refined restaurant . I ha	real	A	PREJJ	fn
em when I come out of- and I'm real psyched about ' em , but I , forg	real	A	PREJJ	fn
he looked- He- he was r- he's real nice , you know- s- The thing i	real	A	PREJJ	fn
some of ' em say she was mean , real mean , but sh- sh- Only time sh	real	A	PREJJ	fn
when the person counted to ten real fast , say one two three four r	real	A	POSTVB	fn
e and cool in the summer . It's real nice . And I just- I just went-	real	A	PREJJ	fn
> They're scared to come back . Real scary . About the flo- about th	real	A	PREJJ	fn
have changed in town . Some is real good . But you know , any- any w	real	A	PREJJ	fn
r passed away , the people were real good to us . Real nice to us . S	real	A	PREJJ	fn
eople . Some nice peoples here . Real nice folk , just real nice . And	real	A	NPAM	fn
as a hundred years , and he was real old . And so he didn't know whe	real	A	PREJJ	fn
minus , plus minus , plus minus real fast . It's a alternating curre	real	A	POSTVB	fn
the Lower East Side like some real hipster place . to go and have	real	A	NPAM	fn
her Simon so I started acting real nutty and everything . And so s	real	A	POSTVB	fn
face ! Just like that . And she real mean . You know , no , they liste	real	A	PREJJ	fn
the door wasn't It's so closed real tight , and so he took his paws	real	A	POSTVB	fn
Alive . Cause they was singing real well , and I like the singing ,	real	A	POSTVB	fn
t know . I can look . But that's real old . Who footage ? I don't even	real	A	PREJJ	fn
t Mr. < name > he makes learning real fun like I just- sometimes I w	real	A	PREJJ	fn
ovies , but < exhale > people are real inconsistent , and I'm not good	real	A	PREJJ	fn
heir website . I was doing some real menial things there . The int-	real	A	NPAM	fn
ast Carolina . And he was uh , a real real good football player . Bas	real	A	NPAM	fn
the west side do kind of got a real slang , hood very like , uh , rea	real	A	NPAM	fn
w well they're doing . And I am real thankful for that , for them , b	real	A	PREJJ	fn
has passed away . You know the real old old people . And uh , we had	real	A	NPAM	fn
f the man's name now . But he's real popular and he's worldwide . Mm	real	A	PREJJ	fn
d of things . And then that was real fun playing reform school . And	real	A	PREJJ	fn
and the cat went through on a real , um , sharp- Almost killed itse	real	A	NPAM	fn
come out you know , right . Had real good people representing , volu	real	A	NPAM	fn
ng . I got you . You know , DC is real animated with our shit . We- we	real	A	PREJJ	fn
They're the ones that uh were real comic in their resistance to t	real	A	PREJJ	fn
t to the point I mean he had a real grouchy , look on his face and	real	A	NPAM	fn
about your family , y'all still real close ? Y'all still like- like	real	A	PREJJ	fn
next door , they have- they are real close to the people that live	real	A	PREJJ	fn
friends out there . Me and them real tight . Me . I don't know . I mea	real	A	PREJJ	fn
the fall . Um , and so , it was a real like , touching sort of moment	real	A	NPAM	fn
ke most Westerns I mean , not a real thick plot . I , a pet ? As a boy	real	A	NPAM	fn
and the food is so good . It's real good . I like the pancakes . Whe	real	A	PREJJ	fn
Okay , for the most part , they real like they always moving . Like	real	R	A	fp
ber a lot of the teachers were real nice . Um . Uh , I still- I remem	real	A	PREJJ	fn
l all they were real elaborate . Everything . Whiskey	real	A	PREJJ	fn
ago I used to- We used to have real big Christmases , you know ? Wel	real	A	NPAM	fn
me nervous . See my nerves were real bad , you know ? And I had a- I	real	A	PREJJ	fn
the time that Donna Summer got real big and , um , Studio Fifty Four	real	A	PREJJ	fn
t's not really , I mean , it's a real slow pace for the most part . Y	real	A	NPAM	fn
ntoring program before she got real sick , but she would do it at h	real	A	PREJJ	fn
you , like , so I sent him this real long text message and I was li	real	A	PREJJ	fn
again . That was a- that was a real sad ordeal . Can you imagine se	real	A	NPAM	fn
be more they fast , strong , and real like intensifying people . that	real	A	NPAM	fn
And our neighborhood was just real nice , like Miami was just laid	real	A	PREJJ	fn
I like it so much , it's- it's real easy now , < ts > simple . All you	real	A	PREJJ	fn
and let it take off . Yeah , I'm real creative . < laugh > Yeah . In ele	real	A	PREJJ	fn
was his last year . He was like real like- real hyped up player , fr	real	A	PREJJ	fn
lot of , um- Let me answer this real quick . Yeah , he found out abou	real	A	POSTVB	fn
the room cause they was like , real real frantic . So , of course , a	real	A	PREJJ	fn
s in the neighborhood . I had a real close friend around the corner	real	A	NPAM	fn
ing fourteen . And , It was just real lit cause everybody was at the	real	A	PREJJ	fn
interested in anything . I'm a really clinger . I cling to my mom . < t	really	R	A	fp
it myself ? No . Never s- never- Really didn't understand the whole ra	really	A	PREVB	fn
know , and playing sports real regular til I was about fourteen , fift	regular	A	POSTVB	fn
just trying to make some money regular on the corner with some pots ,	regular	A	POSTVB	fn
o now . This is right here now . Regular m- meeting right now . Yeah-huh	regular	R	A	fp
ses and we usually played very rough . We- I- I- I was going to tell	rough	A	POSTVB	fn
hoo and crying . I been driving safe all of my life , said Lord Jesu	safe	A	POSTVB	fn
tle guy or what not . Come back safe , and he come back here , United	safe	A	POSTVB	fn
u get their flag and come back safe , that mean you captured their	safe	A	POSTVB	fn
nna be safe . So I just have to second think like , if- whenever I hav	second	A	PREVB	fn
you got each boxes serialized separate to make sure you got the right	separate	A	POSTVB	fn
ke education a little bit more serious . And I guess I was all about ,	serious	A	POSTVB	fn
You know , but I didn't take it serious cause she's- she's a little jo	serious	A	POSTVB	fn
ersonally , I took the job more serious than everybody else because ju	serious	A	POSTVB	fn
lways , uh , take birthdays very serious . Um , like kind of more than ho	serious	A	POSTVB	fn
of life story , know , taking it serious . Yeah . Cause I was just- I was	serious	A	POSTVB	fn
hing ) I guess I didn't take it serious . And , um , I didn't know . And m	serious	A	POSTVB	fn
e alright , we- take class more serious . < school > was alright though .	serious	A	POSTVB	fn
whole life . No , just Valdosta . Seventh grade . Okay , I went- I started	seventh	R	A	fp
sh- I just make whatever . I'm slick a alchemist , bruh . I just go i	slick	A	POSTVB	fn
iggas ain't know that shit was slick gang related , you feel me , ' ti	slick	A	PREJJ	fn
t slows the heart rate down so slow that you basically i- suspende	slow	A	POSTVB	fn
u know it was coming down real slow . It took a l- took about forty	slow	A	POSTVB	fn
roovers you know they could go slow or they'll go fast for a coupl	slow	A	POSTVB	fn
to the boy , she try to act all smart and then she write the answer ,	smart	A	POSTVB	fn
Steph , they looked at them as soft as shit . Skilled . Skilled but	soft	A	POSTVB	fn
tell them to cook your chicken soft cause some of them cook the ch	soft	A	POSTVB	fn
t more demure . Little bit more soft spoken . Um . But , our interacti	soft	A	PREVB	fn
e people be frozen all the way solid , and then thaw out and be f- p	solid	A	POSTJJ	fn
ract and put this building up . Specifically for low and moderate income pe	specifically	A	POSTVB	fn
life to me it just been going steady ever since . Mm-hm . Um , I worke	steady	A	POSTVB	fn
d he kind of strong , you know , stocky built , you know ? And he'd been	stocky	A	PREJJ	fn
city . Um , I still believe that strong . Yeah . Um , so the actual sauce	strong	A	POSTVB	fn
uilt into < school > students so strong , it was almost a how dare you ?	strong	A	POSTVB	fn
on that's been independent and strongly on their own , you know what I	strongly	R	A	fp
now he was always doing things stupid and everything and- Then a pro	stupid	A	POSTVB	fn
same thing . I was . I was going stupid hard for live . Oh my god . And	stupid	A	PREJJ	fn
upposed to sound smart talking stupid ? Like , if I'm at home and comf	stupid	A	POSTVB	fn
. I can't do- ( laughing ) Like , Subtle Thoughts , um , what's the other	subtle	R	A	fp
kids . Which those kids who are supposedly to be- Like everybody's colleg	supposedly	R	A	fp
yes . Yes inaudible . < laugh > He sure woulda . < laugh > That's right .	sure	A	PREVB	fn
t just evacuating people . Yep . Sure did . Once the decision was mad	sure	A	PREVB	fn
The people were warm . That it sure was . The people were so nice b	sure	A	PREVB	fn
s . You made it wait for us . He sure did . He made it wait for us . H	sure	A	PREVB	fn
very nice to us . That's right . Sure was . Well I- well I sure had a	sure	A	PREVB	fn
right there . Yes Lord , yes . It sure was . Yes . I just prayed to the	sure	A	PREVB	fn
Red Cross done very nice . They sure did . They sure ? a lot of peop	sure	A	PREVB	fn
f the people didn't come back . Sure didn't . No they didn't not com	sure	A	PREVB	fn
les here . Some nice people . It sure is . Mm-hm . I love all of ' em .	sure	A	PREVB	fn
come back in Princeville . They sure didn't . Mm-mm . Mm . Mm-hm . Yeah	sure	A	PREVB	fn
you can play with Blues but I sure can't . And boy , they started l	sure	A	PREVB	fn
inety-nine times a dollar . Yup sure did . Gave me eleven hundred do	sure	A	PREVB	fn
mber , cause I was like , man . I sure would like to talk to < name > .	sure	A	PREVB	fn
- And they keep very quiet . It sure is . Ain't nobody standing in f	sure	A	PREVB	fn
now , know , know , know , know . I sure can't . I do the best though . M	sure	A	PREVB	fn
u don't like to travel much . I sure don't . Mm-mm . I love it- I lov	sure	A	PREVB	fn
g today ? I'm doing fine . ? You sure are doing fine . Yeah , I'm doin	sure	A	PREVB	fn
ouses change . Yeah , they- they sure have . ??. Some- yeah . That's r	sure	A	PREVB	fn
he houses change a lot . ? They sure have changed . And the people h	sure	A	PREVB	fn
so I call me mom . < laugh > No I sure didn't . But I helped raise a l	sure	A	PREVB	fn
ike , it's a new car out , and I sure could use one . He said , well w	sure	A	PREVB	fn
happen after World War II , and sure enough , uh , a lot of them have	sure	A	PREVB	fn
was in a wheel chair . So- She sure was , and so we drove her over	sure	A	PREVB	fn
when I caught up with Sandy . I sure can remember that ! ( laughing )	sure	A	PREVB	fn
rry about me tomorrow , see . So sure enough , he gave me that day , a	sure	A	PREVB	fn
hat's what I love about it . It sure has came from a long long way	sure	A	PREVB	fn
g the last game of the season . Sure did . We lost our last game . We	sure	A	PREVB	fn
North Carolina , that's good ?, sure is . Hey y'all have a good bles	sure	A	PREVB	fn
a very kind sweet person . She sure is . She really is . I love her	sure	A	PREVB	fn
ut that out . Oh yeah ? Yes sir , sure did . The only thing I get now	sure	A	PREVB	fn
t more about colleges . I'm not sure yet . Definitely am . Ah , that's	sure	R	A	fp
seen him fight natural . Yes I sure have . Out there on the post . O	sure	A	PREVB	fn
ama cook it was good to me . It sure was . And I reckon that's what	sure	A	PREVB	fn
ll that food . Mm-mm . Mm-hm . It sure was . And Christmas time , they	sure	A	PREVB	fn
m- h- how long I was there ? I sure can't . < laugh > Mm-hm . It was q	sure	A	PREVB	fn
she did with the other child , sure enough she didn't have no more	sure	A	PREVB	fn
the post office soon . I'm not sure yet though , cause she- I don't	sure	R	A	fp
good ain't it ? It sure is . That's right . Yeah , it is .	sure	A	PREVB	fn
of ' em from Rocky Mount . Yup , sure is . Yup . Oh ! That's fine . Yeah	sure	A	PREVB	fn
And never accept second . But I sure wish I had one of those Snicke	sure	A	PREVB	fn
. Oh yeah . Yes . < laugh > Yes , I sure can . Okay . Alright , let me tal	sure	A	PREVB	fn
way in hell she wrote this . It sure enough wasn't . And then he saw	sure	A	PREVB	fn
ut twelve , thirteen years old . Sure was . Yeah . Man , and back then ,	sure	A	PREVB	fn
I mean , they didn't know . They sure didn't . So we- soon they pick	sure	A	PREVB	fn
everything and I said , now , I sure don't wanna crawl in all this	sure	A	PREVB	fn
rty in there . We'll reach him , sure enough . But he h- he rol- he u	sure	A	POSTVB	fn
re still . And then it was- was sure enough , it was him . So , we fou	sure	A	PREVB	fn
it when I come home too . I do- sure did . Um , and if they shoot , Lo	sure	A	PREVB	fn
rs , two months , and two weeks . Sure was . Was I driving ? Oh yeah , I	sure	A	PREVB	fn
d mom was a teacher too . Yeah , sure was . Yup . Yup . < sigh > Hm . Migh	sure	A	PREVB	fn
w , it was really something . It sure is . Well , you know , they was t	sure	A	PREVB	fn
st as large as they were but I sure- I've you know , I < laugh > I No	sure	A	PREVB	fn
it , you say- just say , whew ! I sure was lucky . But kind of sh- kin	sure	A	PREJJ	fn
but I can find out for you . I sure can . Mm-hm . Oh . Some years bac	sure	A	PREVB	fn
til I took my place . Mm-mm , I sure wouldn't . I'd die before my ti	sure	A	PREVB	fn
d they decide they want to uh , sure enough , get into the thing . So	sure	A	PREVB	fn
at's right . Yeah , uh-huh . Yep , sure it is . Yeah . Yeah- Yeah . That '	sure	A	PREVB	fn
d you see that sign ? I said , I sure did . But , I had to go to the b	sure	A	PREVB	fn
know . That's when you begin to sure enough , stretch out with the g	sure	A	PREVB	fn
know anyone . Um , cause I dang sure was not gonna go to Rochester	sure	A	PREVB	fn
s uh , To Sir With Love so then Sure it was about uh , a black teach	sure	R	A	fp
wo thousand two . We rented up , sure did . Uh all the units . We had	sure	A	PREVB	fn
d , that is so sweet cause they sure did . He'll never forget it . He	sure	A	PREVB	fn
e that . And that was scary . It sure was . I don't wanna go through	sure	A	PREVB	fn
MA park . A year and a half . It sure is . Mm-hm . And then I had a ma	sure	A	PREVB	fn
onna get them Penguins . And so sure enough , they reluctantly signe	sure	A	PREVB	fn
s get away . < laugh > And um , so sure enough that day- it was in Aug	sure	A	PREVB	fn
in there- changing in here . It sure has- schools and stuff . It's-	sure	A	PREVB	fn
I had known like I know now , I sure drove it away from there . < lau	sure	A	PREVB	fn
lle Montessori School . She is- sure do . She love to go over that s	sure	A	PREVB	fn
en waiting here for awhile . So sure enough uh , I'd come in there a	sure	A	PREVB	fn
l . She love school anyway . She sure do . Mm , I do . I sure am glad .	sure	A	PREVB	fn
back to neither one of them . I sure don't wanna go back .	sure	A	PREVB	fn
she sang so sweet , along came John and kissed he	sweet	A	POSTVB	fn
man , he lay pipe , he screw it tight , he do it right , and they'll c	tight	A	POSTVB	fn
lumber , he lay pipes , screw it tight , do it right , they'll call you	tight	A	POSTVB	fn
got us , you know , held us real tight you know , so we wont , know , uh	tight	A	POSTVB	fn
as like jammed sh- it was shut tight so we couldn't- so we had to b	tight	A	POSTVB	fn
ance with a woman and hold her tight and spin her in the rhythm tha	tight	A	POSTVB	fn
her made sure we kept quarters tight on our little bras . So we coul	tight	A	POSTVB	fn
gripped the steering wheel so tight . You know what I'm saying . And	tight	A	POSTVB	fn
in , you know , I keep on him so tight , you know , he gonna have time	tight	A	POSTVB	fn
oor wasn't It's so closed real tight , and so he took his paws and-	tight	A	POSTJJ	fn
ike , inside the home , it was a total different atmosphere than once	total	A	NPAM	fn
like raw . You know . Uh , just a total different sound from the other	total	A	NPAM	fn
Stephen Curry . They would be a total different team without Draymon	total	A	NPAM	fn
l Deng at the five . We playing total small ball . That's not the Hea	total	A	NPAM	fn
I said , well I'm going in the total opposite direction . Thank you	total	A	NPAM	fn
everywhere we want to go . Say true . So we decided and went out an	true	A	POSTVB	fn
t of money , and so , that's the typically story of inner city kids . That	typically	R	A	fp
h it . Oh I know . < laugh > Well , usual . There's uh- One person would	usual	A	POSTVB	fn
lace , just , you know ordinary . Usually there isn't- let's say in the	usually	A	PREVB	fn
don't know . He- He is kind of weird acting dog . Like I take him to	weird	A	PREVB	fn
u know what I mean . But I talk weird because like , I lived so many	weird	A	POSTVB	fn
ifted . Because I don't do very well on those analogies . This is to	well	A	POSTVB	fn
to swim but I don't swim very well . It's- Glen Echo is an amuseme	well	A	POSTVB	fn
could play jacks all day long . Well I've got more in the habit of	well	A	PREVB	fn
So I would've studied harder . Well , first of all , I don't want al	well	A	PREVB	fn
ent . Or if he could dance very well , if he or she could dance very	well	A	POSTVB	fn
at exciting because I figured- Well , as far as I was concerned , on	well	A	PREVB	fn
n't , I don't tell stories very well , so . Yes sir . Um , Spanish , Geo	well	A	POSTVB	fn
. Mm-mm . It was a black snake . Well he was over- down at camp , you	well	A	PREVB	fn
ich doesn't hold the road very well . Um , coming back we were appro	well	A	POSTVB	fn
d and he plays the congos very well . And my god- my um- one of my-	well	A	POSTVB	fn
where a lot of my friends uh , well people that became my friends	well	A	PREVB	fn
eleventh or twelfth ? Eleventh . Well I don't- Ninth and tenth was s	well	A	PREVB	fn
hen I- I couldn't make it very well . And uh , it was very hard for	well	A	POSTVB	fn
h tardiness . I don't know why- well one of the reasons why- I did	well	A	PREVB	fn
veral that I can remember very well , that uh- You didn't have time	well	A	POSTVB	fn
why he can't function so very well as a secretary anymore . But wh	well	A	POSTVB	fn
s the history of the club very well . He knows uh how to operate a	well	A	POSTVB	fn
nk I could have done that very well . You know that's pretty rough .	well	A	POSTVB	fn
the club . He- he knew it very well , too . But uh this particular p	well	A	POSTVB	fn
stroy the whole place . School ? Well I dropped out of school . No . N	well	A	PREVB	fn
I was wrong . Oh yeah ! Yeah . Well , < laugh > sometime you know , as	well	A	PREVB	fn
Well , um tag , hopscotch , and Blind	well	A	PREVB	fn
ut I thought it was very good . Well it was supposed to be that uh ,	well	A	PREVB	fn
endly you know . Cause they get well , and they get ready to go home	well	A	PREVB	fn
er things in general I recall . Well if I uh had all the money I wa	well	A	PREVB	fn
lk about . < laugh > Well uh , my major study , I like , uh	well	A	PREVB	fn
all it a racer . unintelligible Well like you- likely to be a lot l	well	A	PREVB	fn
think . I wasn't hurt that bad- Well , my right eye was split , you k	well	A	PREVB	fn
with my mother because she's- Well she gets around real well but	well	A	PREVB	fn
y favorite subject ? Well I take social studies , history	well	A	PREVB	fn
it- Old friends are the best . Well , let's see that was more of a	well	A	PREVB	fn
morrow , and Secret Storm , and- Well you know Amy , and Pauls is sup	well	A	PREVB	fn
e was going to church . So- Oh , well people that sang or the way pe	well	A	PREVB	fn
didn't get along with him very well . He was- Well he was- Well he	well	A	POSTVB	fn
hirts . They knew my taste very well . You know and they gave me tho	well	A	POSTVB	fn
w . Senior High or Junior High ? Well Senior High , I had mostly busi	well	A	PREVB	fn
about , but I never played it . Well it- it- we played other games	well	A	PREVB	fn
Because uh he was trained very well cause I spent all my time with	well	A	POSTVB	fn
le we ride cause knew him very well . Th- his son was one of the fe	well	A	POSTVB	fn
was on- for two was together . Well this other fella , he was um- h	well	A	PREVB	fn
, teacher and I got along very well , and I was one of the top stud	well	A	PREVB	fn
. And , uh , the pay wasn't that well , so I- I guess I stayed there	well	R	A	fp
er on me . Okay ? unintelligible Well my whole family is because lik	well	A	PREVB	fn
ated all four of her kids very well . Uh , my brother's an attorney	well	A	POSTVB	fn
say that she's still alive and well too . But- Uh , her name was , uh	well	R	A	fp
lor was his blood ? We say red . Well , we- we count all the way to r	well	A	PREVB	fn
take care of the tenement very well . Not at all . The guy was just	well	A	POSTVB	fn
et very well . Thirteenth Street was that ki	well	A	POSTVB	fn
would own their own apartment . Well , my mom f- she fell through th	well	A	PREVB	fn
he d- labor and delivery room , Well next time , you're gonna have t	well	A	PREVB	fn
is is what was happening then . Well , I'm sure it does , but it's no	well	A	PREVB	fn
laugh > < laugh > Favorite drink . Well , I haven't tried a lot of drin	well	A	PREVB	fn
so too . Uh , they adjusted very well . Uh , as you know , black folks	well	A	PREVB	fn
s- o- operated on , like that . Well , the- the more weight- And the	well	A	PREVB	fn
Milwaukee , and , um , doing very well uh , with my- my semi retiremen	well	A	POSTVB	fn
ttle bullseye about like that . Well long as I could see it , I coul	well	A	PREVB	fn
king in . Um , I c- I write very well . < laugh > I do my job well , but	well	A	POSTVB	fn
arts , I mean , I can read very well , but I just wasn't the- I didn	well	A	POSTVB	fn
